,0
1254,SULF2
1255,ZNF438
1256,GTPBP8
1257,INSR
1258,KCNB1
1259,RGS12
1260,CCDC40
1261,MYOCD
1262,ELOVL3
1263,ULBP3
1264,SLC39A14
1265,KDM3B
1266,ERCC3
1267,MAPT
1268,EHBP1
1269,INPPL1
1270,GRIN2C
1271,MGA
1272,CD109
1273,LRP1
1274,FAM120B
1275,COL9A1
1276,ST6GALNAC1
1277,ZNF652
1278,OPA1
1279,SLC8A2
1280,RTN3
1281,GRM5
1282,PTK2
1283,SDC1
1284,PPP1R13L
1285,AP3D1
1286,TSR1
1287,CALCRL
1288,RB1CC1
1289,SPAG5
1290,TRAF3IP3
1291,TLN2
1292,MRVI1
1293,PRPF40B
1294,POLD1
1295,KCNF1
1296,NNT
1297,MYRIP
1298,GABRA2
1299,PHLPP1
1300,PHLDA1
1301,RASGRP4
1302,HTR1E
1303,SMAD9
1304,SLC16A14
1305,TOX3
1306,CABLES1
1307,PPP4R2
1308,SLC9A1
1309,MMP25
1310,DDR2
1311,GUCY2D
1312,ACOXL
1313,SNX19
1314,PSMD11
1315,GLCCI1
1316,ERBB2
1317,ADRA1A
1318,PPTC7
1319,CWC22
1320,PAX3
1321,NFATC4
1322,SYNM
1323,GATA3
1324,ZNF549
1325,CLSPN
1326,GRIA2
1327,KRT2
1328,TCEA3
1329,PAX5
1330,LRP5
1331,DNAJC6
1332,DDR1
1333,HYAL2
1334,TMEM74
1335,XPO6
1336,FRMD4B
1337,CAPN10
1338,PDE1A
1339,LAMB1
1340,DUOX1
1341,ZNF420
1342,ENTPD4
1343,ASCC3
1344,ZNF574
1345,ADAMTS1
1346,SORBS1
1347,MPO
1348,ADAM11
1349,IFNA14
1350,SOCS6
1351,SPNS1
1352,CHPT1
1353,PRPF19
1354,PMS1
1355,ZNF800
1356,MYH15
1357,FXR1
1358,PAG1
1359,ATN1
1360,ARVCF
1361,RCBTB1
1362,HPX
1363,NOS3
1364,OXER1
1365,PSEN2
1366,TUBGCP6
1367,ZNF235
1368,CLEC4M
1369,BCL6
1370,P4HA1
1371,LAMA3
1372,SPAG16
1373,CILP
1374,ACP5
1375,DDX41
1376,CLIP1
1377,SH3D19
1378,HPS4
1379,AMOTL1
1380,FLT4
1381,TNKS1BP1
1382,POLE
1383,MAN2A1
1384,AIM2
1385,COPB2
1386,HVCN1
1387,FIGN
1388,PLAT
1389,NAV2
1390,LAMA4
1391,PHF1
1392,PPP1R15A
1393,CEP70
1394,CD47
1395,NUP205
1396,TRAF7
1397,SYT5
1398,NLGN1
1399,MATN4
1400,KIF1A
1401,SP1
1402,RALGAPB
1403,MYNN
1404,PKHD1
1405,SPEG
1406,ST14
1407,SFMBT2
1408,RAF1
1409,PEAR1
1410,ZNF461
1411,GCKR
1412,TLL1
1413,MED12L
1414,MYH6
1415,DNPEP
1416,CLCN7
1417,EXOC6B
1418,NPR1
1419,CAMKK2
1420,MTA2
1421,BCAN
1422,FKBP8
1423,TNFRSF8
1424,GON4L
1425,P2RY1
1426,AJAP1
1427,POU4F2
1428,E2F1
1429,FER
1430,CACNA1C
1431,ACBD5
1432,TUBA1C
1433,ATP2B1
1434,SCN2A
1435,TSPAN11
1436,NHLRC1
1437,TSEN2
1438,FAM71B
1439,PIK3CG
1440,CEP63
1441,ZNF443
1442,HECW1
1443,CHD6
1444,BRIP1
1445,GRIN3B
1446,DAGLA
1447,CORO6
1448,NCAPG2
1449,ALDH3A1
1450,KATNAL1
1451,LIMK2
1452,KIRREL2
1453,EVI5
1454,KIF11
1455,CRTAC1
1456,PIK3C3
1457,CBLB
1458,KHSRP
1459,ABCF1
1460,KEAP1
1461,MYOM1
1462,SLC43A3
1463,OPRM1
1464,ACTN4
1465,UPP1
1466,HOXB3
1467,MUC5B
1468,NEDD9
1469,BAZ1B
1470,MTMR12
1471,UNC45A
1472,SGPL1
1473,FMO1
1474,KDM5B
1475,MAP4K4
1476,ESYT1
1477,FANCA
1478,ZFYVE28
1479,INTS6
1480,NELL1
1481,GCLC
1482,ADNP
1483,TMCO3
1484,SCARB1
1485,IFIH1
1486,KDR
1487,LGI1
1488,ACVR2A
1489,HNRNPU
1490,ZMIZ1
1491,PTPN4
1492,TSHZ1
1493,PTPRT
1494,OGDHL
1495,FGFR4
1496,ADAM33
1497,ZFP57
1498,CATSPER4
1499,SULF1
1500,USP7
1501,CHD9
1502,ARFGAP1
1503,CLASP1
1504,JUN
1505,EPS15
1506,DIXDC1
1507,FAM172A
1508,TAOK3
1509,TSHZ3
1510,HSF5
1511,PDE1C
1512,TMEM87B
1513,MSH2
1514,TUBGCP2
1515,SLC37A1
1516,PPM1B
1517,TRIM10
1518,CSRNP2
1519,STXBP1
1520,CUL7
1521,GRIK5
1522,PSIP1
1523,PTDSS2
1524,GOLGA4
1525,BCL2L11
1526,TAPT1
1527,SSH2
1528,PRDM1
1529,LMNB2
1530,ARHGEF7
1531,TTYH1
1532,HGD
1533,NAMPT
1534,SYNPO2L
1535,CHUK
1536,SMARCA5
1537,NPAS2
1538,FZD2
1539,NPTXR
1540,PACS1
1541,PXK
1542,EIF2AK1
1543,BICD2
1544,USH2A
1545,DNHD1
1546,FARP2
1547,PTPN23
1548,NUP133
1549,PADI2
1550,USH1C
1551,SHPRH
1552,IMPDH2
1553,TUBGCP3
1554,PLEKHM1
1555,ESF1
1556,CPT1A
1557,MDC1
1558,USP33
1559,EFEMP2
1560,HTR3D
1561,DSCAM
1562,CREB5
1563,NBEAL2
1564,ALDOB
1565,APC
1566,ANKLE2
1567,SMYD1
1568,REG1B
1569,PLK2
1570,CADPS
1571,ATP8B2
1572,ABCC5
1573,RGS20
1574,EIF4G3
1575,TCHH
1576,KRAS
1577,RSBN1
1578,ERN2
1579,ZFP64
1580,BBS9
1581,PUS1
1582,DQX1
1583,C2
1584,CCAR1
1585,PHACTR3
1586,ACPP
1587,FNDC3B
1588,NLRC5
1589,FNDC3A
1590,TYK2
1591,DBN1
1592,CXCR4
1593,ADRA2B
1594,ZBTB24
1595,CNTN1
1596,KIF7
1597,PIGG
1598,ANO9
1599,TBX20
1600,MEFV
1601,POM121
1602,WDR11
1603,ADCY8
1604,ESR1
1605,PPFIA2
1606,FADS2
1607,LRP1B
1608,CNOT2
1609,COG3
1610,METTL14
1611,KMO
1612,TM9SF3
1613,KPNB1
1614,PLK4
1615,PPARA
1616,VRK2
1617,HDDC2
1618,CMYA5
1619,PRKCQ
1620,TIAM1
1621,CHN2
1622,NDUFAF1
1623,SIM2
1624,LONP2
1625,B4GALNT2
1626,ELF1
1627,SEZ6L
1628,ZNF770
1629,MSH6
1630,PCSK2
1631,FAM161A
1632,FBXO7
1633,RTEL1
1634,IGDCC4
1635,ANAPC7
1636,CNDP2
1637,SS18
1638,ZMYND8
1639,WNT7A
1640,RFX7
1641,KIF19
1642,CCNE2
1643,SHC4
1644,CCHCR1
1645,TBL1XR1
1646,NR3C1
1647,PTHLH
1648,FHOD1
1649,KCNQ4
1650,LEPR
1651,VPS33A
1652,ZBED4
1653,RHBDF2
1654,EPRS
1655,ZNF76
1656,IRGC
1657,EGR2
1658,SNCAIP
