AGID00223,AGID00223,IRF1,IRF1
AGID00092,AGID00092,IRS1,IRS1
AGID00040,AGID00040,IRS2,IRS2
AGID00250,AGID00250,JAB1,COPS5
AGID00256,AGID00256,Jagged1,JAG1
AGID00177,AGID00177,JAK2,JAK2
AGID00758,AGID00758,JNK_pT183Y185,MAPK8
AGID02136,AGID02136,JNK2,MAPK9
AGID00307,AGID00307,KAP1,TRIM28
AGID00528,AGID00528,KU80,XRCC5
AGID00375,AGID00375,LAD1,LAD1
AGID00290,AGID00290,Lasu1,HUWE1
AGID00279,AGID00279,LC3A-B,MAP1LC3A
AGID00279,AGID00279,LC3A-B,MAP1LC3B
AGID00042,AGID00042,LCK,LCK
AGID00119,AGID00119,LDHA,LDHA
AGID00533,AGID00533,LDHB,LDHB
AGID00529,AGID00529,LKB1,STK11
AGID00244,AGID00244,LRP6_pS1490,LRP6
AGID00439,AGID00439,Lyn,LYN
AGID02154,AGID02154,MAPK_pT202Y204,MAPK1
AGID02154,AGID02154,MAPK_pT202Y204,MAPK3
AGID00198,AGID00198,Mcl-1,MCL1
AGID00288,AGID00288,MCT4,SLC16A3
AGID00175,AGID00175,MDM2_pS166,MDM2
AGID00044,AGID00044,MEK1,MAP2K1
AGID00143,AGID00143,MEK1_pS217S221,MAP2K1
AGID00143,AGID00143,MEK1_pS217S221,MAP2K2
AGID00201,AGID00201,MEK2,MAP2K2
AGID00361,AGID00361,MelanA,MLANA
AGID00362,AGID00362,Melanoma-gp100,PMEL
AGID00337,AGID00337,MERIT40,BABAM1
AGID00338,AGID00338,MERIT40_pS29,BABAM1
AGID02212,AGID02212,METTL3,METTL3
AGID00225,AGID00225,MIF,MIF
AGID00137,AGID00137,MIG6,ERRFI1
AGID00403,AGID00403,MITF,MITF
AGID00503,AGID00503,MITOCHONDRIA,<mitochondria>
AGID00321,AGID00321,Mitofusin-1,MFN1
AGID00322,AGID00322,Mitofusin-2,MFN2
AGID00389,AGID00389,MLH1,MLH1
AGID00312,AGID00312,MLKL,MLKL
AGID00402,AGID00402,MMP14,MMP14
AGID00045,AGID00045,MMP2,MMP2
AGID00122,AGID00122,Mnk1,MKNK1
AGID00331,AGID00331,MR1,MR1
AGID00273,AGID00273,MRAP,MRAP
AGID00530,AGID00530,MRE11,MRE11
AGID00390,AGID00390,MSH2,MSH2
AGID00138,AGID00138,MSH6,MSH6
AGID00299,AGID00299,MSI2,MSI2
AGID00232,AGID00232,MTCO1,MT-CO1
AGID00046,AGID00046,MTOR,MTOR
AGID00047,AGID00047,MTOR_pS2448,MTOR
AGID00204,AGID00204,MTSS1,MTSS1
AGID00401,AGID00401,MYH11,MYH11
AGID00291,AGID00291,MYOSINIIA,MYH9
AGID00173,AGID00173,MYOSINIIA_pS1943,MYH9
AGID00318,AGID00318,Myt1,PKMYT1
AGID00216,AGID00216,NAPSINA,NAPSA
AGID00418,AGID00418,NCADHERIN,CDH2
AGID00156,AGID00156,NDRG1_pT346,NDRG1
AGID02133,AGID02133,NDUFB4,NDUFB4
AGID00134,AGID00134,NF2,NF2
AGID00048,AGID00048,NFKBP65_pS536,RELA
